bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,dic_certified,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,crm_batch_186,temperature_override,file_good,k_dic_good,analyte_volume,file_path,reference_good,analysis_batch,logfile_index,blank_here,blank_here_min,blank_here_max,blank_here_std,blank_here_count,blank_good,analysis_datenum_scaled,blank,counts_corrected,temperature_analysis_dic,density_analysis_dic,k_dic_here,k_dic,dic,dic_offset,dic_self
junk-220824-08,0,0.0,0.0,0,213316.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 11:32:00,19228.480555555554,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17366,62.5,35.0,103.0,20.982135258357285,6.0,True,-0.4238970626210938,54.8609697587126,212712.52933265417,25.0,1.0233430585162893,,0.010901022668457305,2265.8912715762003,,2274.7418626032413
nuts-220824-02,0,0.0,0.0,0,200464.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 11:50:00,19228.493055555555,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17385,56.666666666666664,31.0,88.0,17.4132771821453,6.0,True,-0.29621722448400095,53.946422479795274,199870.58935272225,25.0,1.0233430585162893,,0.010901022668457305,2129.094253544756,,2137.410514228809
junk-220824-09,0,0.0,0.0,0,212728.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 12:07:00,19228.504861111112,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17404,53.833333333333336,26.0,89.0,21.3963911806537,6.0,True,-0.1756307106734067,53.14796810580083,212143.3723508362,25.0,1.0233430585162893,,0.010901022668457305,2259.828404281528,,2268.65531369615
junk-220824-10,0,0.0,0.0,0,212403.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 12:40:00,19228.527777777777,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17423,53.833333333333336,33.0,74.0,15.004628915401037,6.0,True,0.05844899254696373,51.777807216800284,211833.4441206152,25.0,1.0233430585162893,,0.010901022668457305,2256.526935985908,,2265.340949836635
junk-220824-11,0,0.0,0.0,0,212698.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 12:57:00,19228.539583333335,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17442,48.333333333333336,2.0,69.0,21.997474602528555,6.0,True,0.17903550635755797,51.16394444531579,212135.19661110154,25.0,1.0233430585162893,,0.010901022668457305,2259.7413133266055,,2268.567882563201
junk-220824-12,0,0.0,0.0,0,212397.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 13:14:00,19228.55138888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17461,49.5,21.0,64.0,15.152007567755943,6.0,True,0.2996220201309925,50.612196660652444,211840.2658367328,25.0,1.0233430585162893,,0.010901022668457305,2256.5996033885126,,2265.4139010787467
junk-220824-13,0,0.0,0.0,0,212675.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 13:32:00,19228.56388888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17480,41.333333333333336,14.0,67.0,16.458702527504677,6.0,True,0.4273018582680853,50.09533506747675,212123.95131425775,25.0,1.0233430585162893,,0.010901022668457305,2259.6215243323018,,2268.4476256720422
CRM-186-0803-01,0,0.0,0.0,0,188800.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 13:52:00,19228.577777777777,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,False,,17499,44.0,29.0,54.0,9.486832980505138,6.0,True,0.5691683450581754,49.601823936285655,188254.37993670086,25.0,1.0222287671783659,0.010928443711255315,0.010901022668457305,2007.5401211715982,-5.049878828401688,2013.1870943565068
nuts-220824-03,0,0.0,0.0,0,200114.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 14:11:00,19228.59097222222,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17518,51.333333333333336,38.0,64.0,9.480975102218594,6.0,True,0.7039415075217668,49.21128787372254,199572.67583338905,25.0,1.0233430585162893,,0.010901022668457305,2125.920770321838,,2134.2246353528035
junks-220824-14,0,0.0,0.0,0,212410.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 14:30:00,19228.604166666668,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17537,48.666666666666664,17.0,86.0,21.210584359910712,6.0,True,0.838714670022518,48.89658972187999,211872.1375130593,25.0,1.0233430585162893,,0.010901022668457305,2256.9391120833006,,2265.754735897451
junks-220824-15,0,0.0,0.0,0,212449.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 14:47:00,19228.615972222222,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17556,53.666666666666664,47.0,62.0,5.7638721552635275,6.0,True,0.9593011837959524,48.678938592597206,211913.53167548144,25.0,1.0233430585162893,,0.010901022668457305,2257.3800577653474,,2266.1974039171696
junks-220824-16,0,0.0,0.0,0,212232.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 15:05:00,19228.628472222223,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17575,40.5,5.0,79.0,29.69708178704882,6.0,True,1.0869810219330454,48.51392080594496,211698.3468711346,25.0,1.0233430585162893,,0.010901022668457305,2255.0878309206237,,2263.896223614441
junks-220824-17,0,0.0,0.0,0,212433.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 15:21:00,19228.639583333334,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17594,43.666666666666664,10.0,70.0,17.565749501673864,6.0,True,1.2004742113799811,48.4234463795101,211900.3420898254,25.0,1.0233430585162893,,0.010901022668457305,2257.2395574990605,,2266.05635485562
nuts-220824-04,0,0.0,0.0,0,200225.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 15:40:00,19228.652777777777,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17613,57.5,31.0,92.0,23.428970670233607,6.0,True,1.3352473738435726,48.384344560252885,199692.77220983722,25.0,1.0233430585162893,,0.010901022668457305,2127.200080628549,,2135.5089426567065
nuts-220824-05,0,0.0,0.0,0,199965.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 15:57:00,19228.664583333335,35.0,,,0.0,0.0,0.0,False,False,25.0,True,True,95.939,data/R2CO2/,False,,17632,60.166666666666664,3.0,94.0,33.00210431001164,6.0,True,1.4558338876541668,48.41191334962423,199432.46895315414,25.0,1.0233430585162893,,0.010901022668457305,2124.427235610291,,2132.725266881675
CRM-186-0746-01,0,0.0,0.0,0,189174.0,11.0,C_Aug24-22_0808,data/R2CO2/testing-2022.dbs,2022-08-24 16:17:00,19228.678472222222,33.525,2012.59,2212.0,0.42,3.3,0.0,True,True,25.0,True,True,95.939,data/R2CO2/,True,,17651,40.5,0.0,68.0,23.42185589003001,6.0,True,1.5977003744442568,48.519550632791834,188640.2849430393,25.0,1.0222287671783659,0.010906087186820809,0.010901022668457305,2011.6554027573222,-0.9345972426776825,2017.3139517431414
